date,source_type,page,city,campaign_id,group_id,ad_id,keyword_id,calls
2/19/20,organic,/dveri-s-termorazryivom/,Санкт-Петербург,,,,,1
2/19/20,organic,/dveri-uteplennye/,Москва,,,,,1
2/19/20,organic,/elitnye-vhodnye-dveri-v-kvart,Санкт-Петербург,,,,,1
2/19/20,organic,/model-nord-2,Москва,,,,,1
2/19/20,organic,/podezdnye/,Саратов,,,,,1
2/19/20,organic,/s-shumoizolyacziej/,Видное,,,,,1
2/19/20,organic,"/stavni-okonnyie,-zashhitnyie-",Сочи,,,,,1
2/19/20,organic,/ulichnyie-dveri/,Москва,,,,,1
2/19/20,organic,/vent-reshetka-protivopozharna,Москва,,,,,1
2/19/20,organic,/vxodnaya-dver-model-skala-vzl,Москва,,,,,1
2/19/20,organic,/zamok-gardian-10.11,Сосногорск,,,,,1
2/19/20,paid,/s-zerkalom/,Москва,1370731,171187471,416330321,584734243,2
2/19/20,referral,/dveri-s-termorazryivom/,Воронеж,,,,,1
2/20/20,direct,/model-termo-sklad,Москва,,,,,1
2/20/20,direct,/vxodnaya-dver-tarantino-sp,Галле,,,,,1
2/20/20,organic,/,Москва,,,,,1
2/20/20,organic,/dveri-kxo/,Новый Уренгой,,,,,1
2/20/20,organic,/dveri-s-termorazryivom/,Москва,,,,,2
2/20/20,organic,/dveri-so-skidkoj/,Москва,,,,,1
2/20/20,organic,/dveri-uteplennye/,Москва,,,,,1
2/20/20,organic,/eksczentrik-regulyator-pritvo,Краснодар,,,,,1
2/20/20,organic,/metallicheskaya-dver-labirint,Москва,,,,,1
2/20/20,organic,/paradnye-dver/,Краснодар,,,,,1
2/20/20,organic,/podezdnye/,Санкт-Петербург,,,,,1
2/20/20,organic,/s-shumoizolyacziej/,Белорецк,,,,,1
2/20/20,organic,/s-shumoizolyacziej/,Москва,,,,,3
2/20/20,organic,/verxnij-suvaldnyij-zamok-secu,Самара,,,,,1
2/20/20,paid,/s-zerkalom/,Москва,1370731,171187471,416330321,584734243,1
2/20/20,paid,/s-zerkalom/,Москва,1370731,171187477,416106527,584734263,1
2/20/20,referral,/vxodnaya-v-kvartiru-grafit-so,Москва,,,,,1
2/21/20,direct,/,Москва,,,,,1
2/21/20,organic,/bronirovannyie/,Москва,,,,,1
2/21/20,organic,/elitnye-vhodnye-dveri-v-kvart,Москва,,,,,1
2/21/20,organic,/paradnye-dver/,Краснодар,,,,,1
2/21/20,organic,/s-shumoizolyacziej/,Москва,,,,,2
2/21/20,organic,/vzlomostojkie/,Москва,,,,,1
2/21/20,organic,/zamok-kale-152-3m,Москва,,,,,1
